Time [s], Analyzer Name, Decoded Protocol Result
7.552750000000000,To programmer,P (0x50)
7.553275000000000,To programmer,'3' (0x03)
7.553800000000000,To programmer,'4' (0x04)
7.554325000000000,To programmer,'0' (0x00)
7.554855000000000,To programmer,'0' (0x00)
7.555380000000000,To programmer,'128' (0x80)
7.555905000000000,To programmer,'6' (0x06)
7.556430000000000,To programmer,'3' (0x03)
7.557305000000000,To programmer,P (0x50)
7.558305000000000,To programmer,'4' (0x04)
7.559305000000000,To programmer,'2' (0x02)
7.560325000000000,To programmer,'1' (0x01)
7.561320000000000,To programmer,'0' (0x00)
7.564545000000000,To programmer,'20' (0x14)
7.567875000000000,To programmer,'4' (0x04)
7.586440000000000,To programmer,\r (0x0D)
7.671485000000000,To programmer,'5' (0x05)
7.681550000000000,To programmer,'4' (0x04)
7.699555000000000,To programmer,'15' (0x0F)
7.700080000000000,To programmer,? (0x3F)
7.702565000000000,To programmer,'6' (0x06)
7.753655000000000,To programmer,'16' (0x10)
7.789590000000000,To programmer,'5' (0x05)
10.149089999999999,To programmer,'4' (0x04)
10.167890000000000,To programmer,'14' (0x0E)
10.268890000000001,To programmer,'6' (0x06)
10.319860000000000,To programmer,'7' (0x07)
10.320765000000000,To programmer,'4' (0x04)
10.321294999999999,To programmer,'0' (0x00)


ROM START
10.323024999999999,To programmer,'0' (0x00)
10.323555000000001,To programmer,'0' (0x00)
10.324080000000000,To programmer,( (0x28)
10.324605000000000,To programmer,'2' (0x02)
10.325130000000000,To programmer,0 (0x30)
10.325654999999999,To programmer,'247' (0xF7)
10.326180000000001,To programmer,'0' (0x00)
10.326705000000000,To programmer,'174' (0xAE)
10.327230000000000,To programmer,0 (0x30)
10.327755000000000,To programmer,'1' (0x01)
10.328284999999999,To programmer,'0' (0x00)
10.328810000000001,To programmer,'175' (0xAF)
10.329335000000000,To programmer,0 (0x30)
10.329860000000000,To programmer,'128' (0x80)
10.330385000000000,To programmer,'0' (0x00)
10.330909999999999,To programmer,'0' (0x00)
10.331435000000001,To programmer,'0' (0x00)
10.331960000000000,To programmer,'0' (0x00)
10.332485000000000,To programmer,' ' (0x20)
10.333015000000000,To programmer,'249' (0xF9)
10.333539999999999,To programmer,'0' (0x00)
10.334065000000001,To programmer,'0' (0x00)
10.334590000000000,To programmer,'0' (0x00)
10.335115000000000,To programmer,'0' (0x00)
10.335640000000000,To programmer,'18' (0x12)
10.336164999999999,To programmer,'131' (0x83)
10.336690000000001,To programmer,'0' (0x00)
10.337220000000000,To programmer,'0' (0x00)
10.337745000000000,To programmer,'0' (0x00)
10.338270000000000,To programmer,'191' (0xBF)
10.338794999999999,To programmer,'8' (0x08)
10.339320000000001,To programmer,/ (0x2F)

10.340840000000000,To programmer,'0' (0x00)
10.341365000000000,To programmer,'190' (0xBE)
10.341889999999999,To programmer,0 (0x30)
10.342415000000001,To programmer,'249' (0xF9)
10.342945000000000,To programmer,'0' (0x00)
10.343470000000000,To programmer,'192' (0xC0)
10.343995000000000,To programmer,0 (0x30)
10.344519999999999,To programmer,'1' (0x01)
10.345045000000001,To programmer,'0' (0x00)
10.345570000000000,To programmer,'193' (0xC1)
10.346095000000000,To programmer,'18' (0x12)
10.346620000000000,To programmer,'131' (0x83)
10.347144999999999,To programmer,'0' (0x00)
10.347675000000001,To programmer,'0' (0x00)
10.348200000000000,To programmer,'8' (0x08)
10.348725000000000,To programmer,> (0x3E)
10.349250000000000,To programmer,'0' (0x00)
10.349774999999999,To programmer,'194' (0xC2)
10.350300000000001,To programmer,'8' (0x08)
10.350825000000000,To programmer,? (0x3F)
10.351350000000000,To programmer,'0' (0x00)
10.351880000000000,To programmer,'195' (0xC3)
10.352404999999999,To programmer,0 (0x30)
10.352930000000001,To programmer,'255' (0xFF)
10.353455000000000,To programmer,'7' (0x07)
10.353980000000000,To programmer,'190' (0xBE)
10.354505000000000,To programmer,'28' (0x1C)
10.355029999999999,To programmer,'3' (0x03)
10.355555000000001,To programmer,'3' (0x03)
10.356080000000000,To programmer,'191' (0xBF)
10.356610000000000,To programmer,'8' (0x08)
10.357135000000000,To programmer,C (0x43)

10.476965000000000,To programmer,'4' (0x04)
10.477490000000000,To programmer,B (0x42)
10.478014999999999,To programmer,'25' (0x19)
10.478545000000000,To programmer,'3' (0x03)
10.479070000000000,To programmer,( (0x28)
10.479595000000000,To programmer,'154' (0x9A)
10.480119999999999,To programmer,0 (0x30)
10.480645000000001,To programmer,'4' (0x04)
10.481170000000001,To programmer,'7' (0x07)
10.481695000000000,To programmer,@ (0x40)
10.482220000000000,To programmer,'0' (0x00)
10.482745000000000,To programmer,'194' (0xC2)
10.483275000000001,To programmer,'1' (0x01)
10.483800000000000,To programmer,'195' (0xC3)
10.484325000000000,To programmer,\r (0x0D)
10.484850000000000,To programmer,'195' (0xC3)
10.485374999999999,To programmer,'8' (0x08)
10.485900000000001,To programmer,A (0x41)
10.486425000000001,To programmer,'7' (0x07)
10.486950000000000,To programmer,'195' (0xC3)
10.487475000000000,To programmer,'8' (0x08)
10.488004999999999,To programmer,B (0x42)
10.488530000000001,To programmer,'0' (0x00)
10.489055000000000,To programmer,'174' (0xAE)
10.489580000000000,To programmer,'8' (0x08)
10.490105000000000,To programmer,C (0x43)
10.490629999999999,To programmer,'0' (0x00)
10.491154999999999,To programmer,'175' (0xAF)
10.491680000000001,To programmer,0 (0x30)
10.492205000000000,To programmer,'128' (0x80)
10.492735000000000,To programmer,'0' (0x00)
10.493259999999999,To programmer,'0' (0x00)

10.613060000000001,To programmer,'0' (0x00)
10.613585000000000,To programmer,'0' (0x00)
10.614110000000000,To programmer,' ' (0x20)
10.614635000000000,To programmer,'249' (0xF9)
10.615164999999999,To programmer,'0' (0x00)
10.615690000000001,To programmer,'0' (0x00)
10.616215000000000,To programmer,'0' (0x00)
10.616740000000000,To programmer,'0' (0x00)
10.617265000000000,To programmer,'18' (0x12)
10.617789999999999,To programmer,'131' (0x83)
10.618315000000001,To programmer,'0' (0x00)
10.618840000000001,To programmer,'0' (0x00)
10.619365000000000,To programmer,'0' (0x00)
10.619895000000000,To programmer,'197' (0xC5)
10.620419999999999,To programmer,'8' (0x08)
10.620945000000001,To programmer,/ (0x2F)
10.621470000000000,To programmer,'0' (0x00)
10.621995000000000,To programmer,'196' (0xC4)
10.622520000000000,To programmer,'8' (0x08)
10.623044999999999,To programmer,@ (0x40)
10.623570000000001,To programmer,'0' (0x00)
10.624095000000001,To programmer,'174' (0xAE)
10.624625000000000,To programmer,'8' (0x08)
10.625150000000000,To programmer,A (0x41)
10.625674999999999,To programmer,'0' (0x00)
10.626200000000001,To programmer,'175' (0xAF)
10.626725000000000,To programmer,0 (0x30)
10.627250000000000,To programmer,'128' (0x80)
10.627775000000000,To programmer,'0' (0x00)
10.628299999999999,To programmer,'0' (0x00)
10.628830000000001,To programmer,'0' (0x00)
10.629355000000000,To programmer,'0' (0x00)

10.751625000000001,To programmer,' ' (0x20)
10.752150000000000,To programmer,'249' (0xF9)
10.752675000000000,To programmer,'0' (0x00)
10.753200000000000,To programmer,'0' (0x00)
10.753724999999999,To programmer,'0' (0x00)
10.754250000000001,To programmer,'0' (0x00)
10.754780000000000,To programmer,'18' (0x12)
10.755305000000000,To programmer,'131' (0x83)
10.755830000000000,To programmer,'0' (0x00)
10.756354999999999,To programmer,'0' (0x00)
10.756880000000001,To programmer,'0' (0x00)
10.757405000000000,To programmer,'199' (0xC7)
10.757930000000000,To programmer,'0' (0x00)
10.758455000000000,To programmer,'195' (0xC3)
10.758979999999999,To programmer,'8' (0x08)
10.759510000000001,To programmer,/ (0x2F)
10.760035000000000,To programmer,'0' (0x00)
10.760560000000000,To programmer,'194' (0xC2)
10.761085000000000,To programmer,'0' (0x00)
10.761609999999999,To programmer,'198' (0xC6)
10.762135000000001,To programmer,0 (0x30)
10.762660000000000,To programmer,'2' (0x02)
10.763185000000000,To programmer,'7' (0x07)
10.763710000000000,To programmer,@ (0x40)
10.764239999999999,To programmer,'0' (0x00)
10.764765000000001,To programmer,'194' (0xC2)
10.765290000000000,To programmer,'1' (0x01)
10.765815000000000,To programmer,'195' (0xC3)
10.766340000000000,To programmer,\r (0x0D)
10.766864999999999,To programmer,'195' (0xC3)
10.767390000000001,To programmer,'8' (0x08)
10.767915000000000,To programmer,A (0x41)

10.884214999999999,To programmer,'7' (0x07)
10.884740000000001,To programmer,'195' (0xC3)
10.885265000000000,To programmer,'8' (0x08)
10.885795000000000,To programmer,B (0x42)
10.886320000000000,To programmer,'0' (0x00)
10.886844999999999,To programmer,'174' (0xAE)
10.887370000000001,To programmer,'8' (0x08)
10.887895000000000,To programmer,C (0x43)
10.888420000000000,To programmer,'0' (0x00)
10.888945000000000,To programmer,'175' (0xAF)
10.889469999999999,To programmer,0 (0x30)
10.889995000000001,To programmer,'128' (0x80)
10.890525000000000,To programmer,'0' (0x00)
10.891050000000000,To programmer,'0' (0x00)
10.891575000000000,To programmer,'0' (0x00)
10.892099999999999,To programmer,'0' (0x00)
10.892625000000001,To programmer,' ' (0x20)
10.893150000000000,To programmer,'249' (0xF9)
10.893675000000000,To programmer,'0' (0x00)
10.894200000000000,To programmer,'0' (0x00)
10.894724999999999,To programmer,'0' (0x00)
10.895255000000001,To programmer,'0' (0x00)
10.895780000000000,To programmer,'18' (0x12)
10.896305000000000,To programmer,'131' (0x83)
10.896830000000000,To programmer,'0' (0x00)
10.897354999999999,To programmer,'0' (0x00)
10.897880000000001,To programmer,'0' (0x00)
10.898405000000000,To programmer,'195' (0xC3)
10.898930000000000,To programmer,'0' (0x00)
10.899455000000000,To programmer,'201' (0xC9)
10.899984999999999,To programmer,'8' (0x08)
10.900510000000001,To programmer,/ (0x2F)

11.020250000000001,To programmer,'0' (0x00)
11.020775000000000,To programmer,'200' (0xC8)
11.021305000000000,To programmer,'0' (0x00)
11.021830000000000,To programmer,'194' (0xC2)
11.022354999999999,To programmer,'18' (0x12)
11.022880000000001,To programmer,'131' (0x83)
11.023405000000000,To programmer,'0' (0x00)
11.023930000000000,To programmer,'0' (0x00)
11.024455000000000,To programmer,'8' (0x08)
11.024979999999999,To programmer,D (0x44)
11.025505000000001,To programmer,'0' (0x00)
11.026035000000000,To programmer,'200' (0xC8)
11.026560000000000,To programmer,'8' (0x08)
11.027085000000000,To programmer,E (0x45)
11.027609999999999,To programmer,'0' (0x00)
11.028135000000001,To programmer,'201' (0xC9)
11.028660000000000,To programmer,0 (0x30)
11.029185000000000,To programmer,'255' (0xFF)
11.029710000000000,To programmer,'7' (0x07)
11.030239999999999,To programmer,'196' (0xC4)
11.030765000000001,To programmer,'28' (0x1C)
11.031290000000000,To programmer,'3' (0x03)
11.031815000000000,To programmer,'3' (0x03)
11.032340000000000,To programmer,'197' (0xC5)
11.032864999999999,To programmer,'8' (0x08)
11.033390000000001,To programmer,I (0x49)
11.033915000000000,To programmer,'4' (0x04)
11.034440000000000,To programmer,H (0x48)
11.034970000000000,To programmer,'25' (0x19)
11.035494999999999,To programmer,'3' (0x03)
11.036020000000001,To programmer,( (0x28)
11.036545000000000,To programmer,'147' (0x93)
11.156330000000001,To programmer,'8' (0x08)
11.156855000000000,To programmer,F (0x46)
11.157380000000000,To programmer,'0' (0x00)
11.157905000000000,To programmer,'174' (0xAE)
11.158429999999999,To programmer,'8' (0x08)
11.158955000000001,To programmer,G (0x47)
11.159480000000000,To programmer,'0' (0x00)
11.160010000000000,To programmer,'175' (0xAF)
11.160534999999999,To programmer,0 (0x30)
11.161060000000001,To programmer,'128' (0x80)
11.161585000000001,To programmer,'0' (0x00)
11.162110000000000,To programmer,'0' (0x00)
11.162635000000000,To programmer,'0' (0x00)
11.163160000000000,To programmer,'0' (0x00)
11.163684999999999,To programmer,! (0x21)
11.164215000000000,To programmer,'26' (0x1A)
11.164740000000000,To programmer,'0' (0x00)
11.165265000000000,To programmer,'0' (0x00)
11.165789999999999,To programmer,'0' (0x00)
11.166315000000001,To programmer,'0' (0x00)
11.166840000000001,To programmer,'18' (0x12)
11.167365000000000,To programmer,'131' (0x83)
11.167890000000000,To programmer,'0' (0x00)
11.168415000000000,To programmer,'0' (0x00)
11.168945000000001,To programmer,'0' (0x00)
11.169470000000000,To programmer,'200' (0xC8)
11.169995000000000,To programmer,'8' (0x08)
11.170520000000000,To programmer,B (0x42)
11.171044999999999,To programmer,'18' (0x12)
11.171569999999999,To programmer,'131' (0x83)
11.172095000000001,To programmer,'19' (0x13)
11.172620000000000,To programmer,'3' (0x03)
11.291380000000000,To programmer,'0' (0x00)
11.291905000000000,To programmer,'132' (0x84)
11.292430000000000,To programmer,'19' (0x13)
11.292954999999999,To programmer,'131' (0x83)
11.293485000000000,To programmer,'18' (0x12)
11.294010000000000,To programmer,'131' (0x83)
11.294535000000000,To programmer,'0' (0x00)
11.295059999999999,To programmer,'0' (0x00)
11.295585000000001,To programmer,'24' (0x18)
11.296110000000001,To programmer,C (0x43)
11.296635000000000,To programmer,'23' (0x17)
11.297160000000000,To programmer,'131' (0x83)
11.297685000000000,To programmer,'8' (0x08)
11.298215000000001,To programmer,H (0x48)
11.298740000000000,To programmer,'18' (0x12)
11.299265000000000,To programmer,'131' (0x83)
11.299790000000000,To programmer,'19' (0x13)
11.300314999999999,To programmer,'3' (0x03)
11.300840000000001,To programmer,'0' (0x00)
11.301365000000001,To programmer,'128' (0x80)
11.301890000000000,To programmer,'18' (0x12)
11.302420000000000,To programmer,'131' (0x83)
11.302944999999999,To programmer,'0' (0x00)
11.303470000000001,To programmer,'0' (0x00)
11.303995000000000,To programmer,\n (0x0A)
11.304520000000000,To programmer,'198' (0xC6)
11.305045000000000,To programmer,'25' (0x19)
11.305569999999999,To programmer,'3' (0x03)
11.306094999999999,To programmer,\n (0x0A)
11.306620000000001,To programmer,'199' (0xC7)
11.307150000000000,To programmer,\n (0x0A)
11.307675000000000,To programmer,'194' (0xC2)
11.427485000000001,To programmer,'25' (0x19)
11.428010000000000,To programmer,'3' (0x03)
11.428535000000000,To programmer,\n (0x0A)
11.429065000000000,To programmer,'195' (0xC3)
11.429589999999999,To programmer,( (0x28)
11.430115000000001,To programmer,b (0x62)
11.430640000000000,To programmer,0 (0x30)
11.431165000000000,To programmer,'6' (0x06)
11.431690000000000,To programmer,'18' (0x12)
11.432214999999999,To programmer,'131' (0x83)
11.432740000000001,To programmer,'0' (0x00)
11.433265000000000,To programmer,'0' (0x00)
11.433795000000000,To programmer,'7' (0x07)
11.434320000000000,To programmer,'192' (0xC0)
11.434844999999999,To programmer,'24' (0x18)
11.435370000000001,To programmer,'3' (0x03)
11.435895000000000,To programmer,\n (0x0A)
11.436420000000000,To programmer,'193' (0xC1)
11.436945000000000,To programmer,( (0x28)
11.437469999999999,To programmer,'21' (0x15)
11.437995000000001,To programmer,'0' (0x00)
11.438525000000000,To programmer,'0' (0x00)
11.439050000000000,To programmer,'0' (0x00)
11.439575000000000,To programmer,'0' (0x00)
11.440099999999999,To programmer,* (0x2A)
11.440625000000001,To programmer,'11' (0x0B)
11.441150000000000,To programmer,'0' (0x00)
11.441675000000000,To programmer,'8' (0x08)
11.442200000000000,To programmer,'18' (0x12)
11.442724999999999,To programmer,'131' (0x83)
11.443255000000001,To programmer,'18' (0x12)
11.443780000000000,To programmer,'5' (0x05)
11.563485000000000,To programmer,0 (0x30)
11.564014999999999,To programmer,\n (0x0A)
11.564539999999999,To programmer,'2' (0x02)
11.565065000000001,To programmer,K (0x4B)
11.565590000000000,To programmer,'24' (0x18)
11.566115000000000,To programmer,'3' (0x03)
11.566640000000000,To programmer,( (0x28)
11.567164999999999,To programmer,'245' (0xF5)
11.567690000000001,To programmer,\n (0x0A)
11.568215000000000,To programmer,'203' (0xCB)
11.568745000000000,To programmer,0 (0x30)
11.569269999999999,To programmer,'0' (0x00)
